"Microservice","Test","Autoscaling","PKG_Energy","Response_Time","Scenario"
"carts",1,"HPA_Based",29.71,707,"Read_Intensive"
"front-end",1,"HPA_Based",19.55,703,"Read_Intensive"
"user",1,"HPA_Based",3.71,722,"Read_Intensive"
"carts-db",1,"HPA_Based",19.98,NA,"Read_Intensive"
"catalogue",1,"HPA_Based",6.71,641,"Read_Intensive"
"catalogue-db",1,"HPA_Based",6.63,NA,"Read_Intensive"
"orders",1,"HPA_Based",24.87,NA,"Read_Intensive"
"orders-db",1,"HPA_Based",7.2,NA,"Read_Intensive"
"payment",1,"HPA_Based",3.16,NA,"Read_Intensive"
"queue-master",1,"HPA_Based",14.85,NA,"Read_Intensive"
"rabbitmq",1,"HPA_Based",9.34,NA,"Read_Intensive"
"session-db",1,"HPA_Based",3.16,NA,"Read_Intensive"
"shipping",1,"HPA_Based",19.14,NA,"Read_Intensive"
"user-db",1,"HPA_Based",6.74,NA,"Read_Intensive"
"carts",2,"HPA_Based",30.2,815,"Read_Intensive"
"front-end",2,"HPA_Based",10.11,748,"Read_Intensive"
"user",2,"HPA_Based",3.17,825,"Read_Intensive"
"carts-db",2,"HPA_Based",6.35,NA,"Read_Intensive"
"catalogue",2,"HPA_Based",3.18,723,"Read_Intensive"
"catalogue-db",2,"HPA_Based",3.18,NA,"Read_Intensive"
"orders",2,"HPA_Based",33.83,NA,"Read_Intensive"
"orders-db",2,"HPA_Based",7.14,NA,"Read_Intensive"
"payment",2,"HPA_Based",3.21,NA,"Read_Intensive"
"queue-master",2,"HPA_Based",31.18,NA,"Read_Intensive"
"rabbitmq",2,"HPA_Based",10.04,NA,"Read_Intensive"
"session-db",2,"HPA_Based",3.21,NA,"Read_Intensive"
"shipping",2,"HPA_Based",29.8,NA,"Read_Intensive"
"user-db",2,"HPA_Based",6.43,NA,"Read_Intensive"
"carts",3,"HPA_Based",50.3,848,"Read_Intensive"
"front-end",3,"HPA_Based",10.12,692,"Read_Intensive"
"user",3,"HPA_Based",3.29,858,"Read_Intensive"
"carts-db",3,"HPA_Based",3.41,NA,"Read_Intensive"
"catalogue",3,"HPA_Based",3.19,762,"Read_Intensive"
"catalogue-db",3,"HPA_Based",3.13,NA,"Read_Intensive"
"orders",3,"HPA_Based",29.67,NA,"Read_Intensive"
"orders-db",3,"HPA_Based",7.29,NA,"Read_Intensive"
"payment",3,"HPA_Based",3.25,NA,"Read_Intensive"
"queue-master",3,"HPA_Based",31.7,NA,"Read_Intensive"
"rabbitmq",3,"HPA_Based",11.49,NA,"Read_Intensive"
"session-db",3,"HPA_Based",3.25,NA,"Read_Intensive"
"shipping",3,"HPA_Based",28.28,NA,"Read_Intensive"
"user-db",3,"HPA_Based",3.13,NA,"Read_Intensive"
